Date,Open,High,Low,Close,Currency Pair
30/01/2020,1.1010,1.1039,1.1005,1.1031,EUR/USD
29/01/2020,1.1022,1.1028,1.0991,1.1009,EUR/USD
28/01/2020,1.1018,1.1025,1.0996,1.1022,EUR/USD
27/01/2020,1.1030,1.1038,1.1008,1.1018,EUR/USD
24/01/2020,1.1055,1.1062,1.1019,1.1025,EUR/USD
23/01/2020,1.1093,1.1109,1.1035,1.1055,EUR/USD
22/01/2020,1.1082,1.1099,1.1069,1.1092,EUR/USD
21/01/2020,1.1096,1.1118,1.1079,1.1082,EUR/USD
20/01/2020,1.1091,1.1102,1.1075,1.1096,EUR/USD
17/01/2020,1.1137,1.1143,1.1084,1.1088,EUR/USD
16/01/2020,1.1152,1.1173,1.1127,1.1137,EUR/USD
15/01/2020,1.1126,1.1163,1.1117,1.1152,EUR/USD
14/01/2020,1.1135,1.1145,1.1103,1.1126,EUR/USD
13/01/2020,1.1117,1.1147,1.1111,1.1135,EUR/USD
10/01/2020,1.1106,1.1129,1.1084,1.1120,EUR/USD
09/01/2020,1.1110,1.1120,1.1092,1.1106,EUR/USD
08/01/2020,1.1147,1.1168,1.1100,1.1110,EUR/USD
07/01/2020,1.1196,1.1198,1.1132,1.1148,EUR/USD
06/01/2020,1.1160,1.1205,1.1155,1.1196,EUR/USD
03/01/2020,1.1171,1.1180,1.1123,1.1160,EUR/USD
02/01/2020,1.1215,1.1224,1.1162,1.1171,EUR/USD
01/01/2020,1.1212,1.1221,1.1208,1.1215,EUR/USD
31/12/2019,1.1199,1.1239,1.1197,1.1213,EUR/USD
30/12/2019,1.1179,1.1221,1.1176,1.1199,EUR/USD
